StartLine	EndLine	Event	SelectedFields
24405	24429	MARKER OWNERSHIP DECISION	ElapsedMs=85611.169 | Actor=PC_Hero | CurrentMovementAni=Hero_Stand_None_2H_P1_Attack_Hit_N_Fwd_00_%_00_P0_90_L.xmot
24430	24454	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=85653.563 | Actor=Golem | CurrentAction=51 | CurrentStateTime=0.000000
24455	24471	C1 OFFENSE REQUEST	ElapsedMs=85867.944 | Actor=PC_Hero | Generation=69 | Status=PERSISTED | Source=It_2H_Sword_Flamberge | SourceAddress=E700FE10 | ActualGroup=7 | PhysicalCollisionChanged=0
24472	24498	ENGINE SetCollisionGroup	ElapsedMs=85867.979 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | PlayerAction=1 | PlayerAniPhase=1 | PlayerStateTime=0.258000 | PlayerCurrentMovementAni=Hero_Stand_None_2H_P1_Attack_Hit_N_Fwd_00_%_00_P0_90_L.xmot
24499	24518	C1-O2-P1 OFFENSE SCOPE	ElapsedMs=85868.004 | SourceAddress=E700FE10
24519	24548	OUTER_FRAME OFFENSE	ElapsedMs=85868.024 | Actor=PC_Hero | Source=It_2H_Sword_Flamberge | SourceAddress=E700FE10 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | CurrentAction=1 | CurrentStateTime=0.258000
24549	24573	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=85975.571 | Actor=Golem | CurrentAction=26 | CurrentStateTime=0.000000
24574	24596	COMBATMOVE STARTRECOVER BEGIN	ElapsedMs=86190.435 | Actor=PC_Hero | CurrentAction=1 | CurrentAniPhase=1 | CurrentMovementAni=Hero_Stand_None_2H_P1_Attack_Hit_N_Fwd_00_%_00_P0_90_L.xmot
24597	24620	HIT STARTRECOVER BEGIN STACK	ElapsedMs=86190.486 | Actor=PC_Hero | CurrentAction=1 | CurrentAniPhase=1 | CurrentStateTime=0.578972 | CurrentMovementAni=Hero_Stand_None_2H_P1_Attack_Hit_N_Fwd_00_%_00_P0_90_L.xmot
24621	24645	PRIMARYFIRST StopMotion	ElapsedMs=86190.537
24646	24672	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=86190.561 | Actor=PC_Hero
24673	24697	PRIMARYFIRST PlayMotion	ElapsedMs=86190.560
24698	24720	COMBATMOVE STARTRECOVER END	ElapsedMs=86190.638 | Actor=PC_Hero | CurrentAction=1 | CurrentAniPhase=3 | CurrentMovementAni=Hero_Stand_None_2H_P1_Attack_Hit_N_Fwd_00_%_00_P0_90_L.xmot
24721	24737	C1 CLEANUP FULFILLED	ElapsedMs=86190.690 | Actor=PC_Hero | Generation=69 | Status=PERSISTED | Source=It_2H_Sword_Flamberge | SourceAddress=E700FE10 | ActualGroup=5 | PhysicalCollisionChanged=0
24738	24764	ENGINE SetCollisionGroup	ElapsedMs=86190.705 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=1 | PlayerAniPhase=3 | PlayerStateTime=0.578972 | PlayerCurrentMovementAni=Hero_Stand_None_2H_P1_Attack_Hit_N_Fwd_00_%_00_P0_90_L.xmot
24765	24785	NATIVE CLEANUP CALL SITE	ElapsedMs=86190.724 | Source=It_2H_Sword_Flamberge | SourceAddress=E700FE10 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5
24786	24815	OUTER_FRAME CLEANUP	ElapsedMs=86190.748 | Actor=PC_Hero | Source=It_2H_Sword_Flamberge | SourceAddress=E700FE10 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | CurrentAction=1 | CurrentStateTime=0.578972
24816	24855	AISETSTATE CALLSITE	ElapsedMs=86190.778 | Actor=PC_Hero | CurrentAction=1 | CurrentAniPhase=3 | CurrentStateTime=0.578972 | CurrentMovementAni=Hero_Stand_None_2H_P1_Attack_Hit_N_Fwd_00_%_00_P0_90_L.xmot
24856	24880	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=86190.817 | Actor=PC_Hero | CurrentAction=1 | CurrentStateTime=0.578972
24881	24903	C1 FINALIZATION	ElapsedMs=86190.838 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=69 | Status=PERSISTED | PhysicalCollisionChanged=0
24904	24928	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=86190.858 | Actor=PC_Hero | CurrentAction=1 | CurrentStateTime=0.000000
24929	24953	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=86955.613 | Actor=Golem | CurrentAction=1 | CurrentStateTime=0.000000
24954	24993	AISETSTATE CALLSITE	ElapsedMs=86979.502 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=3 | CurrentStateTime=0.774948 | CurrentMovementAni=Hero_Stand_None_2H_P0_Attack_Recover_N_Fwd_00_%_00_P0_0_L.xmot
24994	25018	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=86979.587 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.774948
25019	25043	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=86979.611 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
25044	25087	AIFULLSTOP CALLSITE	ElapsedMs=86989.253 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=3 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Stand_None_2H_P0_Attack_Recover_N_Fwd_00_%_00_P0_0_L.xmot
