StartLine	EndLine	Event	SelectedFields
318935	318961	ENGINE SetCollisionGroup	ElapsedMs=779326.424 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | PlayerAction=0 | PlayerAniPhase=8 | PlayerStateTime=0.539939 | PlayerCurrentMovementAni=Hero_Stand_Shield_1H_P1_Move_Walk_N_Fwd_00_%_00_P1_160.xmot
318962	318986	PRIMARYFIRST StopMotion	ElapsedMs=779341.170
318987	319013	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=779341.277 | Actor=PC_Hero
319014	319038	PRIMARYFIRST PlayMotion	ElapsedMs=779341.263
319039	319065	ENGINE SetCollisionGroup	ElapsedMs=779629.425 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=0 | PlayerAniPhase=9 | PlayerStateTime=0.843907 | PlayerCurrentMovementAni=Hero_Stand_Shield_1H_P1_Move_Run_N_Fwd_00_%_00_P1_400.xmot
319066	319092	ENGINE SetCollisionGroup	ElapsedMs=779909.677 | RequestedGroup=6 | BeforeGroup=7 | AfterGroup=6 | PlayerAction=0 | PlayerAniPhase=9 | PlayerStateTime=1.131873 | PlayerCurrentMovementAni=Hero_Stand_Shield_1H_P1_Move_Run_N_Fwd_00_%_00_P1_400.xmot
319093	319117	PRIMARYFIRST StopMotion	ElapsedMs=780078.561
319118	319144	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=780078.613 | Actor=PC_Hero
319145	319169	PRIMARYFIRST PlayMotion	ElapsedMs=780078.612
319170	319194	PRIMARYFIRST StopMotion	ElapsedMs=780121.236
319195	319221	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=780121.288 | Actor=PC_Hero
319222	319246	PRIMARYFIRST PlayMotion	ElapsedMs=780121.287
319247	319271	PRIMARYFIRST StopMotion	ElapsedMs=780218.758
319272	319298	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=780218.814 | Actor=PC_Hero
319299	319323	PRIMARYFIRST PlayMotion	ElapsedMs=780218.813
319324	319350	ENGINE SetCollisionGroup	ElapsedMs=780738.743 | RequestedGroup=7 | BeforeGroup=1 | AfterGroup=7 | PlayerAction=0 | PlayerAniPhase=9 | PlayerStateTime=1.952859 | PlayerCurrentMovementAni=Hero_Stand_Shield_1H_P1_Move_Run_N_Right_00_%_00_P1_300.xmot
319351	319377	ENGINE SetCollisionGroup	ElapsedMs=780858.249 | RequestedGroup=7 | BeforeGroup=1 | AfterGroup=7 | PlayerAction=0 | PlayerAniPhase=9 | PlayerStateTime=2.068763 | PlayerCurrentMovementAni=Hero_Stand_Shield_1H_P1_Move_Run_N_Right_00_%_00_P1_300.xmot
319378	319402	PRIMARYFIRST StopMotion	ElapsedMs=781055.298
319403	319429	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=781055.349 | Actor=PC_Hero
319430	319454	PRIMARYFIRST PlayMotion	ElapsedMs=781055.348
319455	319479	PRIMARYFIRST StopMotion	ElapsedMs=781091.918
319480	319506	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=781091.969 | Actor=PC_Hero
319507	319531	PRIMARYFIRST PlayMotion	ElapsedMs=781091.968
319532	319558	ENGINE SetCollisionGroup	ElapsedMs=781418.101 | RequestedGroup=6 | BeforeGroup=7 | AfterGroup=6 | PlayerAction=0 | PlayerAniPhase=8 | PlayerStateTime=2.640798 | PlayerCurrentMovementAni=Hero_Stand_Shield_1H_P1_Move_Walk_N_Back_00_%_00_P1_160.xmot
319559	319583	PRIMARYFIRST StopMotion	ElapsedMs=781693.478
