StartLine	EndLine	Event	SelectedFields
3018	3034	C1 CLEANUP FULFILLED	ElapsedMs=33124.588 | Actor=PC_Hero | Generation=3 | Status=PERSISTED | Source=It_2H_Sword_Flamberge | SourceAddress=E70E8610 | ActualGroup=5 | PhysicalCollisionChanged=0
3035	3061	ENGINE SetCollisionGroup	ElapsedMs=33124.604 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=4 | PlayerAniPhase=3 | PlayerStateTime=0.520962 | PlayerCurrentMovementAni=Hero_Stand_None_2H_P0_QuickAttackR_Hit_N_Fwd_00_%_00_P1_90_R.xmot
3062	3082	NATIVE CLEANUP CALL SITE	ElapsedMs=33124.622 | Source=It_2H_Sword_Flamberge | SourceAddress=E70E8610 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5
3083	3112	OUTER_FRAME CLEANUP	ElapsedMs=33124.644 | Actor=PC_Hero | Source=It_2H_Sword_Flamberge | SourceAddress=E70E8610 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | CurrentAction=4 | CurrentStateTime=0.520962
3113	3152	AISETSTATE CALLSITE	ElapsedMs=33230.888 | Actor=PC_Hero | CurrentAction=4 | CurrentAniPhase=3 | CurrentStateTime=0.627963 | CurrentMovementAni=Hero_Stand_None_2H_P1_QuickAttackR_Recover_N_Fwd_00_%_00_P1_0_R.xmot
3153	3177	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=33230.959 | Actor=PC_Hero | CurrentAction=4 | CurrentStateTime=0.627963
3178	3200	C1 FINALIZATION	ElapsedMs=33230.988 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=3 | Status=PERSISTED | PhysicalCollisionChanged=0
3201	3225	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=33231.012 | Actor=PC_Hero | CurrentAction=4 | CurrentStateTime=0.000000
3226	3252	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=34056.360 | Actor=PC_Hero
3253	3277	PRIMARYFIRST PlayMotion	ElapsedMs=34056.358
3278	3317	AISETSTATE CALLSITE	ElapsedMs=34056.842 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=0.814931 | CurrentMovementAni=Hero_Stand_None_2H_P1_Ambient_Loop_N_Fwd_00_%_00_P1_0.xmot
3318	3342	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=34056.885 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.814931
3343	3367	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=34056.906 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
3368	3384	C1 LIFECYCLE START	ElapsedMs=34066.111 | Actor=PC_Hero | Generation=4 | Status=CANDIDATE | PhysicalCollisionChanged=0
3385	3398	C1-O2 OUTER BINDING	ElapsedMs=34066.146 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=4 | Status=CANDIDATE | PhysicalCollisionChanged=0
3399	3423	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=34066.157 | Actor=PC_Hero | CurrentAction=16 | CurrentStateTime=0.000000
3424	3448	PRIMARYFIRST StopMotion	ElapsedMs=34066.427
3449	3481	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=34066.459 | Actor=PC_Hero
3482	3506	PRIMARYFIRST PlayMotion	ElapsedMs=34066.458
3507	3517	C1 LIFECYCLE STATUS	ElapsedMs=34066.547 | Event=PERSISTED | Actor=PC_Hero | Generation=4 | Status=PERSISTED | PhysicalCollisionChanged=0
3518	3561	AIFULLSTOP CALLSITE	ElapsedMs=34125.096 | Actor=PC_Hero | CurrentAction=16 | CurrentAniPhase=4 | CurrentStateTime=0.061988 | CurrentMovementAni=Hero_Stand_None_2H_P1_Parade_Begin_N_Fwd_00_%_00_P0_0.xmot
3562	3598	COMBATMOVE FULLSTOP STACK	ElapsedMs=34125.209 | Actor=PC_Hero | CurrentAction=16 | CurrentAniPhase=4 | CurrentStateTime=0.061988 | CurrentMovementAni=Hero_Stand_None_2H_P1_Parade_Begin_N_Fwd_00_%_00_P0_0.xmot
3599	3639	AISETSTATE CALLSITE	ElapsedMs=34125.291 | Actor=PC_Hero | CurrentAction=16 | CurrentAniPhase=4 | CurrentStateTime=0.061988 | CurrentMovementAni=Hero_Stand_None_2H_P1_Parade_Begin_N_Fwd_00_%_00_P0_0.xmot
3640	3664	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=34125.332 | Actor=PC_Hero | CurrentAction=16 | CurrentStateTime=0.061988
3665	3687	C1 FINALIZATION	ElapsedMs=34125.357 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=4 | Status=PERSISTED | PhysicalCollisionChanged=0
3688	3712	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=34125.379 | Actor=PC_Hero | CurrentAction=16 | CurrentStateTime=0.000000
3713	3729	C1 LIFECYCLE START	ElapsedMs=34129.212 | Actor=PC_Hero | Generation=5 | Status=CANDIDATE | PhysicalCollisionChanged=0
3730	3743	C1-O2 OUTER BINDING	ElapsedMs=34129.244 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=5 | Status=CANDIDATE | PhysicalCollisionChanged=0
3744	3768	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=34129.256 | Actor=PC_Hero | CurrentAction=5 | CurrentStateTime=0.000000
3769	3793	PRIMARYFIRST StopMotion	ElapsedMs=34129.498
3794	3826	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=34129.526 | Actor=PC_Hero
3827	3851	PRIMARYFIRST PlayMotion	ElapsedMs=34129.525
3852	3862	C1 LIFECYCLE STATUS	ElapsedMs=34129.641 | Event=PERSISTED | Actor=PC_Hero | Generation=5 | Status=PERSISTED | PhysicalCollisionChanged=0
3863	3887	MARKER OWNERSHIP DECISION	ElapsedMs=34129.659 | Actor=PC_Hero | CurrentMovementAni=Hero_Stand_None_2H_P1_QuickAttackL_Hit_N_Fwd_00_%_00_P0_90_L.xmot
3888	3904	C1 OFFENSE REQUEST	ElapsedMs=34230.667 | Actor=PC_Hero | Generation=5 | Status=PERSISTED | Source=It_2H_Sword_Flamberge | SourceAddress=E70E8610 | ActualGroup=7 | PhysicalCollisionChanged=0
3905	3931	ENGINE SetCollisionGroup	ElapsedMs=34230.700 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | PlayerAction=5 | PlayerAniPhase=1 | PlayerStateTime=0.100999 | PlayerCurrentMovementAni=Hero_Stand_None_2H_P1_QuickAttackL_Hit_N_Fwd_00_%_00_P0_90_L.xmot
3932	3951	C1-O2-P1 OFFENSE SCOPE	ElapsedMs=34230.724 | SourceAddress=E70E8610
3952	3981	OUTER_FRAME OFFENSE	ElapsedMs=34230.738 | Actor=PC_Hero | Source=It_2H_Sword_Flamberge | SourceAddress=E70E8610 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | CurrentAction=5 | CurrentStateTime=0.100999
3982	4004	COMBATMOVE STARTRECOVER BEGIN	ElapsedMs=34534.455 | Actor=PC_Hero | CurrentAction=5 | CurrentAniPhase=1 | CurrentMovementAni=Hero_Stand_None_2H_P1_QuickAttackL_Hit_N_Fwd_00_%_00_P0_90_L.xmot
4005	4029	PRIMARYFIRST StopMotion	ElapsedMs=34534.742
4030	4056	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=34534.771 | Actor=PC_Hero
4057	4081	PRIMARYFIRST PlayMotion	ElapsedMs=34534.770
4082	4104	COMBATMOVE STARTRECOVER END	ElapsedMs=34534.838 | Actor=PC_Hero | CurrentAction=5 | CurrentAniPhase=3 | CurrentMovementAni=Hero_Stand_None_2H_P1_QuickAttackL_Hit_N_Fwd_00_%_00_P0_90_L.xmot
4105	4121	C1 CLEANUP FULFILLED	ElapsedMs=34534.894 | Actor=PC_Hero | Generation=5 | Status=PERSISTED | Source=It_2H_Sword_Flamberge | SourceAddress=E70E8610 | ActualGroup=5 | PhysicalCollisionChanged=0
4122	4148	ENGINE SetCollisionGroup	ElapsedMs=34534.909 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=5 | PlayerAniPhase=3 | PlayerStateTime=0.406989 | PlayerCurrentMovementAni=Hero_Stand_None_2H_P1_QuickAttackL_Hit_N_Fwd_00_%_00_P0_90_L.xmot
